frame_idx,time_s,x,y
0,0.000000,288.24,1090.66
1,0.033295,288.03,1091.14
2,0.066590,288.01,1091.29
3,0.099885,288.01,1091.34
4,0.133180,288.00,1091.36
5,0.166476,288.03,1091.38
6,0.199771,288.01,1091.40
7,0.233066,288.01,1091.40
8,0.266361,288.03,1091.32
9,0.299656,288.01,1091.34
10,0.332951,288.00,1091.31
11,0.366246,288.01,1091.40
12,0.399541,288.01,1091.30
13,0.432837,288.05,1091.27
14,0.466132,288.08,1091.24
15,0.499427,288.10,1091.20
16,0.532722,288.08,1091.24
17,0.566017,288.07,1091.14
18,0.599312,288.07,1091.15
19,0.632607,288.07,1091.22
20,0.665902,288.07,1091.24
21,0.699198,288.08,1091.23
22,0.732493,288.05,1091.16
23,0.765788,288.06,1091.10
24,0.799083,288.04,1091.13
25,0.832378,288.06,1091.11
26,0.865673,288.05,1091.14
27,0.898968,288.08,1091.14
28,0.932263,288.08,1091.16
29,0.965558,288.13,1091.22
30,0.998854,288.09,1091.09
31,1.032149,288.07,1090.98
32,1.065444,288.06,1090.99
33,1.098739,288.09,1091.14
34,1.132034,288.09,1091.12
35,1.165329,288.07,1091.16
36,1.198624,288.08,1091.14
37,1.231919,288.11,1091.27
38,1.265215,288.05,1091.02
39,1.298510,287.94,1090.42
40,1.331805,287.88,1090.05
41,1.365100,287.87,1090.10
42,1.398395,287.94,1089.93
43,1.431690,287.94,1089.94
44,1.464985,287.97,1089.90
45,1.498280,288.04,1089.89
46,1.531576,287.99,1089.99
47,1.564871,287.98,1090.18
48,1.598166,287.94,1090.01
49,1.631461,287.96,1089.98
50,1.664756,287.98,1090.12
51,1.698051,288.03,1090.05
52,1.731346,288.06,1089.83
53,1.764641,288.12,1089.88
54,1.797937,288.14,1089.76
55,1.831232,288.18,1089.73
56,1.864527,288.21,1089.72
57,1.897822,288.25,1089.71
58,1.931117,288.23,1089.76
59,1.964412,288.34,1089.38
60,1.997707,288.37,1089.44
61,2.031002,288.31,1089.56
62,2.064297,288.22,1089.67
63,2.097593,288.16,1089.61
64,2.130888,288.11,1089.58
65,2.164183,287.99,1089.80
66,2.197478,288.01,1089.79
67,2.230773,287.97,1089.76
68,2.264068,287.93,1089.83
69,2.297363,287.91,1089.73
70,2.330658,287.87,1089.73
71,2.363954,288.03,1089.87
72,2.397249,288.02,1089.59
73,2.430544,288.12,1089.56
74,2.463839,288.23,1089.58
75,2.497134,288.30,1089.53
76,2.530429,288.33,1089.54
77,2.563724,288.36,1089.52
78,2.597019,288.34,1089.66
79,2.630315,288.26,1089.80
80,2.663610,288.15,1089.85
81,2.696905,288.03,1089.78
82,2.730200,287.87,1089.82
83,2.763495,287.82,1089.87
84,2.796790,287.70,1089.83
85,2.830085,287.62,1089.77
86,2.863380,287.64,1089.70
87,2.896675,287.58,1089.56
88,2.929971,287.62,1089.54
89,2.963266,287.71,1089.74
90,2.996561,287.83,1089.60
91,3.029856,287.98,1089.62
92,3.063151,288.17,1089.61
93,3.096446,288.30,1089.63
94,3.129741,288.43,1089.84
95,3.163036,288.49,1089.84
96,3.196332,288.56,1089.95
97,3.229627,288.62,1089.79
98,3.262922,288.61,1089.78
99,3.296217,288.63,1089.88
100,3.329512,288.54,1089.55
101,3.362807,288.49,1089.55
102,3.396102,288.41,1089.57
103,3.429397,288.32,1089.66
104,3.462693,288.20,1089.68
105,3.495988,288.10,1089.82
106,3.529283,287.99,1089.61
107,3.562578,287.97,1089.81
108,3.595873,288.09,1090.59
109,3.629168,288.15,1090.87
110,3.662463,288.33,1091.14
111,3.695758,288.35,1091.07
112,3.729053,288.43,1091.00
113,3.762349,288.46,1090.96
114,3.795644,288.59,1090.90
115,3.828939,288.67,1090.93
116,3.862234,288.77,1090.80
117,3.895529,288.81,1090.80
118,3.928824,288.71,1090.62
119,3.962119,288.69,1090.63
120,3.995414,288.68,1090.77
121,4.028710,288.65,1090.77
122,4.062005,288.59,1090.85
123,4.095300,288.51,1090.69
124,4.128595,288.47,1090.76
125,4.161890,288.40,1090.86
