frame_idx,time_s,x,y
0,0.000000,287.47,1092.25
1,0.033295,287.49,1092.31
2,0.066590,287.47,1092.38
3,0.099885,287.48,1092.48
4,0.133180,287.48,1092.51
5,0.166476,287.52,1092.52
6,0.199771,287.50,1092.54
7,0.233066,287.50,1092.52
8,0.266361,287.50,1092.51
9,0.299656,287.47,1092.57
10,0.332951,287.47,1092.54
11,0.366246,287.46,1092.65
12,0.399541,287.45,1092.56
13,0.432837,287.49,1092.55
14,0.466132,287.51,1092.58
15,0.499427,287.50,1092.57
16,0.532722,287.49,1092.63
17,0.566017,287.47,1092.54
18,0.599312,287.47,1092.54
19,0.632607,287.47,1092.62
20,0.665902,287.47,1092.65
21,0.699198,287.46,1092.66
22,0.732493,287.46,1092.56
23,0.765788,287.47,1092.48
24,0.799083,287.47,1092.50
25,0.832378,287.47,1092.46
26,0.865673,287.48,1092.48
27,0.898968,287.47,1092.53
28,0.932263,287.49,1092.51
29,0.965558,287.54,1092.55
30,0.998854,287.50,1092.42
31,1.032149,287.50,1092.40
32,1.065444,287.52,1092.38
33,1.098739,287.56,1092.57
34,1.132034,287.57,1092.57
35,1.165329,287.56,1092.59
36,1.198624,287.56,1092.62
37,1.231919,287.58,1092.66
38,1.265215,287.54,1092.38
39,1.298510,287.42,1091.72
40,1.331805,287.38,1091.37
41,1.365100,287.38,1091.48
42,1.398395,287.40,1091.41
43,1.431690,287.39,1091.36
44,1.464985,287.42,1091.35
45,1.498280,287.44,1091.40
46,1.531576,287.44,1091.40
47,1.564871,287.43,1091.61
48,1.598166,287.39,1091.37
49,1.631461,287.40,1091.35
50,1.664756,287.42,1091.51
51,1.698051,287.44,1091.48
52,1.731346,287.48,1091.35
53,1.764641,287.52,1091.41
54,1.797937,287.55,1091.25
55,1.831232,287.57,1091.25
56,1.864527,287.64,1091.25
57,1.897822,287.65,1091.22
58,1.931117,287.64,1091.28
59,1.964412,287.62,1091.18
60,1.997707,287.64,1091.33
61,2.031002,287.62,1091.32
62,2.064297,287.52,1091.35
63,2.097593,287.48,1091.26
64,2.130888,287.46,1091.19
65,2.164183,287.40,1091.33
66,2.197478,287.39,1091.36
67,2.230773,287.35,1091.37
68,2.264068,287.33,1091.38
69,2.297363,287.27,1091.31
70,2.330658,287.32,1091.24
71,2.363954,287.48,1091.38
72,2.397249,287.46,1091.00
73,2.430544,287.60,1090.92
74,2.463839,287.67,1090.96
75,2.497134,287.76,1090.93
76,2.530429,287.75,1090.98
77,2.563724,287.79,1090.93
78,2.597019,287.77,1091.13
79,2.630315,287.70,1091.24
80,2.663610,287.64,1091.26
81,2.696905,287.49,1091.20
82,2.730200,287.34,1091.25
83,2.763495,287.29,1091.26
84,2.796790,287.17,1091.20
85,2.830085,287.10,1091.23
86,2.863380,287.09,1091.16
87,2.896675,287.04,1090.94
88,2.929971,287.11,1090.88
89,2.963266,287.21,1090.96
90,2.996561,287.33,1090.81
91,3.029856,287.46,1090.80
92,3.063151,287.67,1090.75
93,3.096446,287.77,1090.79
94,3.129741,287.95,1090.97
95,3.163036,287.97,1090.97
96,3.196332,288.03,1091.11
97,3.229627,288.09,1090.98
98,3.262922,288.08,1090.96
99,3.296217,288.09,1091.10
100,3.329512,288.01,1090.81
101,3.362807,287.97,1090.78
102,3.396102,287.88,1090.75
103,3.429397,287.77,1090.82
104,3.462693,287.67,1090.78
105,3.495988,287.56,1090.93
106,3.529283,287.45,1090.77
107,3.562578,287.42,1090.97
108,3.595873,287.55,1091.84
109,3.629168,287.58,1092.14
110,3.662463,287.74,1092.37
111,3.695758,287.79,1092.31
112,3.729053,287.88,1092.26
113,3.762349,287.94,1092.23
114,3.795644,288.06,1092.17
115,3.828939,288.14,1092.14
116,3.862234,288.21,1092.10
117,3.895529,288.27,1092.07
118,3.928824,288.21,1091.96
119,3.962119,288.19,1091.93
120,3.995414,288.17,1092.03
121,4.028710,288.14,1092.07
122,4.062005,288.09,1092.13
123,4.095300,287.99,1092.00
124,4.128595,287.96,1092.06
125,4.161890,287.91,1092.09
126,4.195185,287.78,1092.02
127,4.228480,287.68,1092.00
128,4.261775,287.55,1092.01
129,4.295071,287.35,1091.98
130,4.328366,287.29,1091.98
131,4.361661,287.23,1092.00
132,4.394956,287.20,1092.02
133,4.428251,287.12,1092.01
134,4.461546,287.18,1091.96
135,4.494841,287.21,1091.94
136,4.528136,287.24,1091.90
137,4.561432,287.30,1091.87
138,4.594727,287.35,1091.82
139,4.628022,287.45,1091.83
140,4.661317,287.48,1091.85
141,4.694612,287.51,1091.86
142,4.727907,287.51,1091.87
143,4.761202,287.51,1091.88
144,4.794497,287.50,1091.89
145,4.827792,287.51,1092.02
146,4.861088,287.50,1091.99
147,4.894383,287.51,1092.23
148,4.927678,287.47,1092.25
149,4.960973,287.45,1092.15
150,4.994268,287.39,1092.07
151,5.027563,287.40,1092.11
152,5.060858,287.39,1092.09
153,5.094153,287.31,1092.17
154,5.127449,287.22,1092.09
155,5.160744,287.18,1092.10
156,5.194039,287.13,1092.05
157,5.227334,287.06,1092.12
158,5.260629,286.94,1092.11
159,5.293924,286.87,1092.18
160,5.327219,286.84,1092.10
161,5.360514,286.75,1092.11
162,5.393810,286.69,1091.99
163,5.427105,286.68,1091.99
164,5.460400,286.67,1092.00
165,5.493695,286.62,1091.99
